id	query	answer
0029bdbe75423337b551e42bb31f9a102785376f	Who did Percival reunited with?	Minnie; minnie
00936497f5884881f1df23f4834f6739552cee8b	Where was the starting point of the trip?	England; Zanzibar
00950a3641e6a28b04a6fabf6334140e2deaa9fd	Where did they stay the first night?	In ancient ruins with lifelike statues; In some ruins
00ee9e01a0e581e0d8cbf7e865a895147c480c5e	How does Carlito try to escape the rooftop?	Helicopter; in his helicopter
00f9dbb0a851bc6099d5216e5fa8719b2ac3b82b	Why was Crash let go from the Bulls?	He was no longer needed since Ebby went to the majors.; Nuke is called up to the majors and the team no longer needs him
015c99b411cef291d31cd5543c7ae957edebe6b4	Why does the Enterprise travel to Earth?	For repairs; For repairs.
01a4a870914fd148e2fd4e55ccbc9a3595f6bab6	What was the alleged cause of Jim's death?	His death was attributed to heart failure.; Heart failure.
01aa10d75658840a478ede17631dba875651c370	There is a fundamental lack of what between people?	Communication; Communication.
01dd08c2a57dca20d4925177a4b4de509fdf71fb	Who confirms the identity of Bin Laden's corpse?	Maya ; Maya
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90	Who helps Emily escape the castle?	Du Pont; She had help of her secret admirer Du Pont.
0207a55a2d507f3b4feb99b227751b76f88ddd53	Where does Chuck go to deliver the last package he saved from the crash?	Texas; Canadian, Texas
02476285f0673b06c7754deed4517e54c50c42b5	What do Moppet and Mittens become afterwards?	Rat catchers. ; Rat-catchers
026723e23a4f1b279e20d9d2d3746a1dc4543b2d	Why does Minna finally relent, and tell Tellheim the truth about her wealth?	Her family arrives; When her uncle threatens to tell him.
02ec0dda4d6b545c8a180b4e66108f32acc7fefa	Who does Dr. Forth convince to be hypnotized?	Dr. Jay Allison; Dr. Jay Allison
032bcfd170a98fb5ed752c1d25b678b8589de7d7	What was Rand dying from?	Aplastic anemia ; a rare blood disease
033a2dae1f69467127ee67acdf39fa97c031c57b	Who alerts the authorities to Ralston's presence and predicament?	A family that he meets on his hike back.; A family on a hike.
03a048c35b81d8a422e0efd0d5de016b63659869	Arsene Lupin was also known as?	Louis Valmeras; Under a different name Louis Valmeras in hiding
0434145d9284423a36a714fc55246ed0bdc39a82	What does Marty's mother do in the fear of abandonment?	Marty's mother belittles Clara; His mother belittles Clara. 
04c16e307a71d8af0af39d10542144f7c059f17c	What types of states does Kant talk about? 	Republic; Republican states with representative governments and where the legislature is separate from the executive. 
04dc9134485dee27252734f24c2a3b3dd397b8a4	How many people are dead by the end of the story?	Six; 3
05000d20b404b4f3c6c34127dc3836fecad8f134	In which social occasion does the drama unfold?	A Masquerade Ball.; A masquerade ball
050f88f6c8fed44ecbd7658b0f450fb705ce368d	Why did the man not die when he jumped off of the cliff?	Because his heart was pure.; His heart was pure
0540453463a383489fdcdbb41ae4264e5ca866a2	What do the aliens lack in their technology?	A reliable gravity drive.; They lack a gravity drive.
0567cf66eee97d900ee7b9a01e64fdf5d406c685	What food does a disguised Raveanna give Snow White?	A poisoned apple.; apple
05c77e71c5f919af1ae72442febd204b03563f93	How does Kate's plan work out?	Kate and Marlow get engaged; It succeeds and she becomes engaged.
05c794b3a1c52d3716f8b7c2b4de77df7ea65748	How long will the demon torment Christine before it takes her to Hell?	3 days; 3 days
05d2346e34d9a4140e0d30ee311c21aab82bc850	What is Friend William?	Quaker Surgeon; A Quaker surgeon
05f1a40c41101a714a3ace0359d4a550d908742e	Which of the Lapham's daughters is described as being more intelligent?	Penelope; Penelope
0619e886fb3167a3d70f4d191754a82b3f9ecf7f	What is Carver's title after Sir Ensor dies?	Lord of the Doones; Lord of the Doones
061c5dd1dc117e3161f1f0a7794b807932ef4675	HOW COULD DRUMMOND'S VICTIMS HAVE BEEN SAVED?	IF THEY RECEIVED PROMPT ACCURATE TREATMENT; If they received the right treatment right away 
062b9c326df5cbf93aa78e36f76f72c690fd4e0a	Besides the Chicago Police and the Mafia, who else is after the group?	The Latino gang and the FBI.; Latino gang and the FBI.
07115dadb9d1831d9a0951dd1c392587dfcae9df	What did Anna's father own?	An orphanage.; An orphanage
0751de79bc881dbad592bd427a0c2fe65ed3618f	What part of the bees and moths became covered in pollen?	Proboscis; proboscis
076acafe2eb72ccf6e894bbb4b8b318f4cf3c58d	Who was Ross's source?	Neal Daniels; Neil Daniels
0772d79247ec3faf8f25765d731b0310a30517ff	Where does Rey find Luke Skywalker?	The planet Ahch-To; The planet Ahch-To
08172f313a4053b150a6c20310b6ee58f6968b76	Where does Mulan lure the lead Hun to battle him one-on-one?	The roof of the palace.; She lures him onto the roof
084e3e9625f032d6fc7454e94841a6045a0454e8	Where does George Cranleigh own land?	Surrey, England; Surrey.
08c82f15d7abcf717059f263e25c56adccefb12a	Where is the cat when Mr. McGregor returns home?	Locked in the greenhouse.; On top of the basket
09355a61a4d84807f9533f31d3263809cc486b6b	What happens immediately following the power going out at the farmhouse?	the undead break into the house; Undead broke through barricades
0a133d2f741f023f11260893729c5dc63f9ef89a	What was the name of Ripleys ship in the original landing?	USCSS Nostromo ; USCSS Nostromo
0a93e857113efca05c6274e7af3ba4f03a023b9f	What are the thieves after?	bearer bonds; high value bonds 
0ae341b4a133b8102f5964dc6b9480a40063c44a	Where does the majority of the stolen gold eventually go?	It is returned to Kuwait.; It's returned to Kuwait.
0b5d946ecfbdeb6629ae3f8cd42f4c499892e4ce	Who married Joseph Lebas?	Augustine's sister Virginie. ; Augustine's older sister Virginie
0b738a9a5aa340036c40877bc86ac49e102cc5f8	What type of preemptive strike threatens the planet of Dis?	 Nuclear Strike; Nuclear
0b9c36c9ed7054b8879daec163f52d1491264a55	What distraction caused Mike to cover for Waller?	Waller found out his son was ill and missed a forged cheque, Mike covered for him and was fired and roasted by Bickersdyke.; Waller's son being ill.
0b9f563bad33316d94f4f339fb151a4b33f25c3f	Why was Floyd and the others in a Moonbus?	to go to see the artifact; To investigate a recently found artifact.
0bae1f959cf453f77d465ab3d7de58735c3cea38	Who wins the award for top pilot during graduation from the Top Gun academy?	Iceman; Iceman
0bb7c49bd644d0a4c0ea9fd6239e84c07013a811	"Rather than spending time with his family, what did Bill prefer to do ""day and night""?"	Go carousing with his cronies; Carousing with cronies
0bc7352d6a0e678c0d8acc57c0c1cc3466fe9ef7	Where does Justice work and what does she do?	Justice works at the beauty salon and does hair. ; she works at a hair salon, styling hair
0bc9bac5aa5a407fd2cca4cdefcde62ae41a98ca	What king is introduced to Twinkle and Chubbins?	King Bird of Paradise. ; king bird of paradise
0bec3c185ffe7f716108fce8bd4a1558d4cd4a54	Who else besides her sister does Billy tell her story too?	The police.; The police
0bff02718921b6f106c87a5418f29553790954af	What does the angel use to beat Goth?	Goth's own whip; with Gotch's own whip
0c112bc4c07ded9222ae308d1f20591b76aed4de	Why were the slaves massacred?	So they couldn't spread the word about vampires.; So that they could not reveal the truth about Louis and Lestat.
0c159ba273b7078c2fcd87edb32016c97e699b55	How does the famer's wife die?	She falls through rotten floor boards at the sawmill; She fell through rotten floorboards in the sawmill.
0c2b940512879ba35e6a0512b240ed661119d20b	What did Westlake ask Julie to do before she left his lab before he was burned?	Marry him.; To marry him
0cb3433c5ac030dba47414e2655c3c49e4f37527	Where was Jack walking ?	a long the shoreline ; along the shoreline
0cbfda3f5a75cbf26ba96f72e33e5559064e33ba	Why is Stew investigating the life of playboy Michael Schuyler?	He is doing a story about a breech of promise suit brought against Michael by Gloria Golden.; He is a reporter assigned to the story by the Post.
0d6f958d03124c4176549fce64ed4e7849e351f9	How does Delamere die? 	Fighting a duel over his sister's lover; He dies in a duel.
0d95465d9d08a01d744d71e51384f301b5fd1b0f	Who kills Conklin?	Manheim, under the orders of Abbtott.; Manheim
0dac508af629caa26b065dd781244131d7ec5e2e	What is the name of the mercenaries's ship?	Betty; Betty.
0dc314c260de491f65c06294183c4eff0b62a95c	What is the name of the event that Striker experienced that left him haunted?	Macho Grande; The War
0e386fb9ead81ac7dbda4798564ab2f7968234c8	Who does Robert believe he is at one point when he's delusional?	Peter the Great of Russia; Gil-Martin.
0e453816e78ebb5abeaf4ea5dc283e1455fd57f9	Who does Eugene see years later?	Tatyana.; Tatyana
0eae0c4823bd37d58a7b23798c37fd0818bad032	What famous baseball player's autograph is on one of the balls that landed in the junkyard?	Babe Ruth; Babe Ruth's autograph. 
0edab258db9c1e0483eeaa442e0522bdefa9d445	Whose father was murdered?	Clarice's; Clarice's
